Comment,Designator,Footprint,LCSC
FerriteBead,FB1,L_0805_2012Metric,C1017
10n,"C105,C106,C107,C55,C56,C57,C65,C66,C67,C75,C76,C77,C85,C86,C87,C95,C96,C97",C_0603_1608Metric,C115056
470n,"C100,C104,C110,C54,C60,C64,C70,C74,C80,C84,C90,C94",C_0805_2012Metric,C13967
100k,"R15,R24",R_0805_2012Metric,C149504
100u,"C101,C111,C33,C36,C48,C61,C71,C81,C91",CP_EIA-3528-21_Kemet-B,C16133
10n,"C2,C3,C4,C5,C6,C7",C_0805_2012Metric,C1710
10k,"R110,R12,R127,R13,R14,R144,R17,R3,R59,R7,R76,R93",R_0805_2012Metric,C17414
120k,"R29,R34",R_0805_2012Metric,C17436
15k,"R101,R102,R104,R108,R118,R119,R121,R125,R135,R136,R138,R142,R43,R44,R50,R51,R53,R57,R67,R68,R70,R74,R84,R85,R87,R91",R_0805_2012Metric,C17475
1k,"R1,R11,R37,R40,R6",R_0805_2012Metric,C17513
1M,R9,R_0805_2012Metric,C17514
2k2,"R38,R39",R_0805_2012Metric,C17520
220k,R8,R_0805_2012Metric,C17556
220,R26,R_0805_2012Metric,C17557
22k,"R100,R115,R117,R132,R134,R149,R49,R64,R66,R81,R83,R98",R_0805_2012Metric,C17560
270,R21,R_0805_2012Metric,C17590
27k,R10,R_0805_2012Metric,C17593
330,"R47,R48",R_0805_2012Metric,C17630
33k,"R27,R36",R_0805_2012Metric,C17633
33,"R2,R4",R_0805_2012Metric,C17634
390,"R106,R123,R140,R55,R72,R89",R_0805_2012Metric,C17655
4k7,"R109,R113,R116,R126,R130,R133,R143,R147,R150,R16,R22,R23,R42,R58,R62,R65,R75,R79,R82,R92,R96,R99",R_0805_2012Metric,C17673
470,"R111,R112,R128,R129,R145,R146,R18,R20,R25,R60,R61,R77,R78,R94,R95",R_0805_2012Metric,C17710
47k,"R28,R35,R45,R46",R_0805_2012Metric,C17713
56k,"R30,R33",R_0805_2012Metric,C17756
6k8,"R103,R120,R137,R52,R69,R86",R_0805_2012Metric,C17772
820,"R105,R107,R114,R122,R124,R131,R139,R141,R148,R54,R56,R63,R71,R73,R80,R88,R90,R97",R_0805_2012Metric,C17837
82k,"R31,R32",R_0805_2012Metric,C17840
100p,"C50,C51",C_0805_2012Metric,C1790
22p,"C1,C9",C_0805_2012Metric,C1804
2SC945,Q1,SOT-23,C181154
100n,"C10,C11,C12,C14,C15,C16,C17,C18,C19,C20,C23,C24,C25,C26,C27,C29,C30,C32,C34,C35,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C49,C8",C_0805_2012Metric,C28233
AD5328B,"U20,U7",TSSOP-16_4.4x5mm_P0.65mm,C29162
DIN-5_180degree,J3,DIN-5-180,C2939344
12MHz,Y1,Crystal_SMD_ECS_CSM3X-2Pin_7.6x4.1mm,C2975358
PANEL,P2,IDC-Header_2x20_P2.54mm_Vertical,C3013500
AudioJack3_Switch,"J2,J4,J5",Jack_6.35mm_Neutrik_NMJ6HFD2_Horizontal,C309275
3M3,R19,R_0805_2012Metric,C34154
10k,RV1,Potentiometer_Alps_RK163_Dual_Horizontal,C370979
LPC1778FBD144,U3,LQFP-144_20x20mm_P0.5mm,C37701
POWER,SW2,SPUN192600,C390926
MCP4922-ESL,"U10,U12,U14,U16,U18,U8",SO-14_3.9x8.65mm_P1.27mm,C39851
6N139,OC1,DIP-8_W7.62mm,C4071
FT232,P1,PinSocket_1x06_P2.54mm_Vertical,C40877
RESET,SW1,SW_PUSH_6mm,C428628
1k5,R5,R_0805_2012Metric,C4310
22u,"C102,C103,C52,C53,C62,C63,C72,C73,C82,C83,C92,C93",C_0805_2012Metric,C45783
LM13700,"IC1,IC2,IC3",SO-16_3.9x9.9mm_P1.27mm,C5160094
820p,"C108,C58,C68,C78,C88,C98",C_0603_1608Metric,C519567
IA0505S-2W,PS1,IA0505S-2W,C5198614
IB0503LSY-1WR1,PS2,IB0503LSY,C5198623
TLV2556,U4,SOIC-20W_7.5x12.8mm_P1.27mm,C527513
XT26G02CWSIGA,U1,WSON-8-1EP_8x6mm_P1.27mm_EP3.4x4.3mm,C5362272
74HC138,U5,SO-16_3.9x9.9mm_P1.27mm,C5602
470u,C13,CP_EIA-7343-43_Kemet-X,C561869
TL074,"U2,U6",SO-14_3.9x8.65mm_P1.27mm,C6964
10u,"C21,C22,C31",CP_EIA-3216-18_Kemet-A,C7171
USB_B,J1,USB_B_Lumberg_2411_02_Horizontal,C720549
1N4148,"D1,D2,D3,D4,D5",D_SOD-123,C81598
47u,"C109,C59,C69,C79,C89,C99",C_1206_3216Metric,C96123
SSI2144,"U11,U13,U15,U17,U19,U9",SSOP-16_3.9x4.9mm_P0.635mm,C9900070109
