Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100p,C_0805_2012Metric,155.06,-19.86875,0.0,top
C2,100nF,C_0805_2012Metric,150.9325,-22.09125,-90.0,top
C3,100nF,C_0805_2012Metric,150.9325,-35.42625,-90.0,top
C4,470uF,CP_EIA-7343-43_Kemet-X,10.11,-36.38,180.0,top
C5,100p,C_0805_2012Metric,157.3225,-37.64875,0.0,top
C6,10uF,CP_EIA-3216-18_Kemet-A,36.95,-42.64875,90.0,top
C7,100u,CP_EIA-3528-21_Kemet-B,119.2095,-43.42725,-90.0,top
C8,100u,CP_EIA-3528-21_Kemet-B,131.3545,-43.42725,-90.0,top
C9,100u,CP_EIA-3528-21_Kemet-B,164.2945,-43.42725,-90.0,top
C10,100u,CP_EIA-3528-21_Kemet-B,176.4395,-43.42725,-90.0,top
C11,100u,CP_EIA-3528-21_Kemet-B,209.3795,-43.42725,-90.0,top
C12,100u,CP_EIA-3528-21_Kemet-B,221.5245,-43.42725,-90.0,top
C13,10uF,CP_EIA-3216-18_Kemet-A,40.252,-45.34875,90.0,top
C14,10nF,C_0805_2012Metric,118.297,-52.63475,180.0,top
C15,10nF,C_0805_2012Metric,132.267,-52.63475,180.0,top
C16,10nF,C_0805_2012Metric,163.382,-52.63475,180.0,top
C17,10nF,C_0805_2012Metric,177.352,-52.63475,180.0,top
C18,10nF,C_0805_2012Metric,208.467,-52.63475,180.0,top
C19,10nF,C_0805_2012Metric,222.437,-52.63475,180.0,top
C20,470n,C_0805_2012Metric,113.852,-53.90475,0.0,top
C21,470n,C_0805_2012Metric,136.712,-53.90475,180.0,top
C22,470n,C_0805_2012Metric,158.937,-53.90475,0.0,top
C23,470n,C_0805_2012Metric,181.797,-53.90475,180.0,top
C24,470n,C_0805_2012Metric,204.022,-53.90475,0.0,top
C25,470n,C_0805_2012Metric,226.882,-53.90475,180.0,top
C26,10uF,CP_EIA-3216-18_Kemet-A,29.6475,-58.36625,-90.0,top
C27,100n,C_0805_2012Metric,50.642,-58.49725,180.0,top
C28,100nF,C_0805_2012Metric,74.7195,-65.80975,0.0,top
C29,100nF,C_0805_2012Metric,86.547,-66.09675,90.0,top
C30,100nF,C_0805_2012Metric,96.3895,-68.50975,-90.0,top
C31,22p,C_0805_2012Metric,45.28075,-74.60725,90.0,top
C32,22p,C_0805_2012Metric,58.29825,-74.60725,90.0,top
C33,470n,C_0805_2012Metric,94.167,-76.76475,-90.0,top
C34,100nF,C_0805_2012Metric,106.867,-76.76475,-90.0,top
C35,470n,C_0805_2012Metric,116.7095,-76.76475,-90.0,top
C36,100nF,C_0805_2012Metric,129.4095,-76.76475,-90.0,top
C37,470n,C_0805_2012Metric,139.252,-76.76475,-90.0,top
C38,100nF,C_0805_2012Metric,151.952,-76.76475,-90.0,top
C39,470n,C_0805_2012Metric,161.7945,-76.76475,-90.0,top
C40,100nF,C_0805_2012Metric,174.49575,-76.76475,-90.0,top
C41,470n,C_0805_2012Metric,184.337,-76.76475,-90.0,top
C42,100nF,C_0805_2012Metric,197.037,-76.76475,-90.0,top
C43,470n,C_0805_2012Metric,206.8795,-76.76475,-90.0,top
C44,100nF,C_0805_2012Metric,219.5795,-76.76475,-90.0,top
C45,100nF,C_0805_2012Metric,57.9045,-80.08725,180.0,top
C46,10n,C_0603_1608Metric,96.3895,-80.89225,180.0,top
C47,10n,C_0603_1608Metric,109.0895,-80.89225,180.0,top
C48,10n,C_0603_1608Metric,118.932,-80.89225,180.0,top
C49,10n,C_0603_1608Metric,131.632,-80.89225,180.0,top
C50,10n,C_0603_1608Metric,141.4745,-80.89225,180.0,top
C51,10n,C_0603_1608Metric,154.1745,-80.89225,180.0,top
C52,10n,C_0603_1608Metric,164.017,-80.89225,180.0,top
C53,10n,C_0603_1608Metric,176.717,-80.89225,180.0,top
C54,10n,C_0603_1608Metric,186.5595,-80.89225,180.0,top
C55,10n,C_0603_1608Metric,199.2595,-80.89225,180.0,top
C56,10n,C_0603_1608Metric,209.102,-80.89225,180.0,top
C57,10n,C_0603_1608Metric,221.802,-80.89225,180.0,top
C58,47u,C_1206_3216Metric,113.5345,-82.16225,90.0,top
C59,47u,C_1206_3216Metric,136.077,-82.16225,90.0,top
